text,language,n_words
"Jeśli chcecie dziś się zbłaźnić, to zapraszam.
",pl,7
"Los hombres estaban en el frente por aquel entonces.
",es,9
"Ορθώς, επειδή η αρχική πρόταση απέβλεπε μόνο στην εσωτερική αγορά.
",el,10
"De modo que en ese sentido hay un claro equilibrio.
",es,10
"V tem kontekstu moramo izpostaviti kmetijski sektor.
",sl,7
"Vaše otázka bude předložena Radě.
",cs,5
"   . – Herr Präsident!
",de,2
"Vad händer nu när det gäller förhandlingarna?
",sv,7
"Aber davon möchte ich jetzt einmal absehen.
",de,7
"zpravodajka. - (FR) Vážené kolegyně, vážení kolegové, jsem s výsledkem spokojena.
",cs,10
"Dies ist immens wichtig.
",de,4
"Zato je bistvenega pomena, da pridobimo znanje in podatke na tem področju.
",sl,12
"Ohne entsprechende Maßnahmen wären die Emissionen fluorierter Gase im gleichen Zeitraum um 50 % gestiegen.
",de,13
"Nezapomínejme, že soud v Lucemburku uplatňuje úmluvu již řadu let.
",cs,10
"Dotyczy: środków walki z terroryzmem i podstawowego prawa do prywatności
",pl,10
"Nous sommes unanimes en la matière de ce côté de l'Assemblée.
",fr,12
"Detta kan inte nås på ett harmoniskt sätt utan att rymdfaktorn tillåts spela in.
",sv,14
"Estos aspectos deben abordarse con claridad en el acuerdo revisado.
",es,10
"Estas son cuestiones con graves implicaciones.
",es,6
"Γι'αυτό διαλέξτε εσείς: ή τώρα ή στις 21.00.
",el,8
"Por conseguinte, associamo-nos às propostas de hoje do Parlamento que exortam à sua libertação.
",pt,15
"Njeni cilji in sredstva so namenoma nejasni.
",sl,7
"Vznik informační společnosti je zase dokladem významu lidských zdrojů a sociálního začleňování.
",cs,12
"Ας χρησιμοποιήσουμε όλοι μας αυτό το δεδομένο ως τροφή για σκέψη.
",el,11
"Disponiamo di una direttiva sul diritto d'autore che risale al 1991, forse avremmo dovuto riesaminarla.
",it,15
"Jag vill också kommentera ett antal frågor som avser konstitutionsfördraget.
",sv,10
"O acordo prevê uma aplicação por fases, tornando-se as disposições progressivamente mais rigorosas.
",pt,14
"Oznacza to, że możemy działać niezwłocznie, co nie byłoby możliwe bez podstawy w postaci artykułu 186.
",pl,15
"Há alguma coisa que está em falta na proposta.
",pt,9
"V celoti sta brez podpore.
",sl,5
"Me gustaría felicitar a la comisión por su trabajo.
",es,9
"Przykładowo Francja jeszcze się z tym nie uporała.
",pl,8
"Okolnosti v případě Kosova jsou výjimečné.
",cs,6
"Med mindre regeringen træffer en afgørende beslutning, vil kornproduktionen undergå en yderligere forværring i 1997 og 1998.
",da,15
"Nárůst manažerských platů vyvolal větší zájem veřejnosti o úroveň skutečných odměn za manažerskou činnost.
",cs,14
"Esittelijä ei kuitenkaan ole näyttänyt todella pohtineen väkivallan syitä ja lähteitä nykyisissä eurooppalaisissa yhteiskunnissa.
",fi,14
"Η νέα αυτή λογιστική προσέγγιση επιτρέπει τη σαφέστερη ανάγνωση των δαπανών στον τομέα της αλιείας.
",el,15
"Κύριε Πρόεδρε, αγαπητοί συνάδελφοι, τρεις είναι οι δυνατότητες δράσης.
",el,9
"Mietinnössä suhtaudutaan myönteisesti joihinkin viittauksiin nykyjärjestelmän parantamiseksi, mutta siinä vaaditaan lopullisen järjestelmän käyttöönottoa.
",fi,13
"Jeg vil nu bede Dem alle rejse Dem og iagttage et minuts stilhed.
",da,13
"A primeira condição é projectos de qualidade.
",pt,7
"Δυστυχώς, πάρα πολύς χρόνος σπαταλήθηκε στην προστασία, και δεν εξελίχθηκαν όλα ομαλά.
",el,12
"Vi har inte hållit vårt löfte.
",sv,6
"W rzeczy samej, my, Unia Europejska, popieramy dalsze kroki naprzód.
",pl,10
"Nogle medlemslande bruger hele 3 % af deres bruttonationalprodukt på boligpolitikken, mens andre bruger mindre end 1 %.
",da,14
"Eso corresponde primordialmente a la competencia de los Estados miembros.
",es,10
"Cieszę się, że Rada wreszcie przychyliła się do naszych propozycji.
",pl,10
"Ein Europa: Europa hat sich ebenfalls verändert.
",de,7
"Κύριε Πρόεδρε, κυρίες και κύριοι, ο Προεδρεύων του Συμβουλίου εξέφρασε τις προτεραιότητές του.
",el,13
"Mi grupo está bien situado para saberlo.
",es,7
"Ryhmäni on tyytyväinen tähän uuteen menettelyyn.
",fi,6
"Ker pri prejšnji temi nisem imel besede, bi rad vprašal nekaj o spodbujanju demokracije.
",sl,14
"Συνεπώς, ας αναλύσουμε, ας εκτιμήσουμε και ας εφαρμόσουμε πραγματικές πολιτικές ανάπτυξης και ολοκλήρωσης.
",el,13
"Derfor skal vi fremme kampagner, der kan bevidstgøre og informere offentligheden.
",da,11
"Molemmat ongelmat viittaavat psykologisiin esteisiin.
",fi,5
"Med vilket internationellt stöd?
",sv,4
"Švédská studie ukázala, kolik zvířat se celkem přepraví přes hranice v rámci EU.
",cs,13
"Bisogna guardare al rischio complessivo di tutte le tecnologie.
",it,9
"Jag tycker att vi alla har rätt till en förklaring.
",sv,10
"Předmět: Uvádění evropských výrobků z hovězího a jehněčího masa na trh
",cs,11
"Zur öffentlichen Auftragsvergabe: hier werden ökologische und soziale Kriterien benötigt.
",de,10
"Będę z państwem szczery: tego rodzaje komentarze naprawdę czasem mnie zaskakują.
",pl,11
"Dets bestemmelser er ekstremt detaljerede.
",da,5
"(PL) hyvät kollegat, puhuin tästä hetki sitten kun kiitin jäsen Daulia ja jäsen Schulzia.
",fi,14
"Azerbajdžan: svoboda izražanja
",sl,3
"No sólo las compañías ferroviarias; otros también deben poder hacerlo.
",es,10
"Tupakan vastaisten kiihkoilijoiden ei pitäisi toimia aivan kuin tupakan vienti vastaisi kaliumsyanidien liikkeellelaskua.
",fi,13
"Chcę poszerzyć perspektywy.
",pl,3
"Det parlamentariske engagement er således øget betydeligt.
",da,7
"W podsumowaniu pragnę stwierdzić, że po raz pierwszy uwzględniono wszystkie aspekty całego sektora lotniczego.
",pl,14
"Jednak ta konferencja może zrobić wiele na rzecz zjednoczenia i skoordynowana działań międzynarodowych.
",pl,13
"Calendário dos períodos de sessões do Parlamento Europeu - 2010
",pt,8
"kirjallinen. - (GA) Olen erittäin tyytyväinen Jean Marie Beaupuyn erinomaiseen mietintöön hallintotavasta ja kumppanuudesta.
",fi,13
